cmip5-component-label,cmip5-component-property-label,cmip6-id
Ocean > Lateral Physics > Momentum,Operator > Direction,cmip6.ocean.lateral_physics.momentum.operator.direction
Ocean > Lateral Physics > Momentum,Operator > Discretization,cmip6.ocean.lateral_physics.momentum.operator.discretisation
Ocean > Lateral Physics > Momentum,Operator > Order,cmip6.ocean.lateral_physics.momentum.operator.order
,,
Ocean > Lateral Physics > Tracers,Eddy Viscosity Coefficient > Background Value,cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.coeff_background
Ocean > Lateral Physics > Tracers,Eddy Viscosity Coefficient > Coefficient Type,cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.type
Ocean > Lateral Physics > Tracers,Eddy Viscosity Coefficient > Coefficient Type Detail,
Ocean > Lateral Physics > Tracers,Eddy Viscosity Coefficient > Coefficient Value,cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.constant_coefficient
Ocean > Lateral Physics > Tracers,Eddy Viscosity Coefficient > Spatial Variation,cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.variable_coefficient
,,
Ocean > Lateral Physics > Tracers,Eddy-induced Velocity > Added Diffusivity,cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.added_diffusivity
Ocean > Lateral Physics > Tracers,Eddy-induced Velocity > Coefficient Type,
Ocean > Lateral Physics > Tracers,Eddy-induced Velocity > Coefficient Value,cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.constant_val
Ocean > Lateral Physics > Tracers,Eddy-induced Velocity > Flux Type,cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.flux_type
Ocean > Lateral Physics > Tracers,Eddy-induced Velocity > Scheme Type,cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.type
,,
Ocean > Lateral Physics > Tracers,Mesoscale Closure,cmip6.ocean.lateral_physics.tracers.mesoscale_closure
Ocean > Lateral Physics > Tracers,Operator > Direction,cmip6.ocean.lateral_physics.tracers.operator.direction
Ocean > Lateral Physics > Tracers,Operator > Discretization,cmip6.ocean.lateral_physics.tracers.operator.discretisation
Ocean > Lateral Physics > Tracers,Operator > Order,cmip6.ocean.lateral_physics.tracers.operator.order
,,
Ocean > Upper & Lower Boundaries,Bottom Boundary Layer > Lateral Mixing Coefficient,cmip6.ocean.uplow_boundaries.bottom_boundary_layer.lateral_mixing_coef
Ocean > Upper & Lower Boundaries,Bottom Boundary Layer > Sill Overflow,cmip6.ocean.uplow_boundaries.bottom_boundary_layer.sill_overflow
Ocean > Upper & Lower Boundaries,Bottom Boundary Layer > Type,cmip6.ocean.uplow_boundaries.bottom_boundary_layer.type_of_bbl
Ocean > Upper & Lower Boundaries,Free Surface > Type,cmip6.ocean.uplow_boundaries.free_surface.scheme
,,
Ocean > Vertical Physics,Convection,cmip6.ocean.vertical_physics.interior_mixing.details.convection_type
Ocean > Vertical Physics,Tide-induced Mixing,cmip6.ocean.vertical_physics.interior_mixing.details.tide_induced_mixing
,,
Ocean > Vertical Physics > Interior Mixing,Momentum > Background Coefficient,cmip6.ocean.vertical_physics.interior_mixing.momentum.background
Ocean > Vertical Physics > Interior Mixing,Momentum > Background Type,
Ocean > Vertical Physics > Interior Mixing,Momentum > Mixing Coefficient,cmip6.ocean.vertical_physics.interior_mixing.momentum.constant
Ocean > Vertical Physics > Interior Mixing,Momentum > Scheme Type,cmip6.ocean.vertical_physics.interior_mixing.momentum.type
,,
Ocean > Vertical Physics > Interior Mixing,Tracers > Background Coefficient,cmip6.ocean.vertical_physics.interior_mixing.tracers.background
Ocean > Vertical Physics > Interior Mixing,Tracers > Background Type,
Ocean > Vertical Physics > Interior Mixing,Tracers > Mixing Coefficient,cmip6.ocean.vertical_physics.interior_mixing.tracers.constant
Ocean > Vertical Physics > Interior Mixing,Tracers > Scheme Type,cmip6.ocean.vertical_physics.interior_mixing.tracers.type
,,
Ocean > Vertical Physics > Mixed Layer,Momentum > Background Value,cmip6.ocean.vertical_physics.boundary_layer_mixing.momentum.background
Ocean > Vertical Physics > Mixed Layer,Momentum > Scheme Type,cmip6.ocean.vertical_physics.boundary_layer_mixing.momentum.type
,,
Ocean > Vertical Physics > Mixed Layer,Tracers > Background Coefficient,cmip6.ocean.vertical_physics.boundary_layer_mixing.tracers.background
Ocean > Vertical Physics > Mixed Layer,Tracers > Scheme Type,cmip6.ocean.vertical_physics.boundary_layer_mixing.tracers.type
